"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2023","172394","26 North Halsted","Submitted","26 North Halsted","60661","3.5",,"Near West Side","Office","61,770","1984","1",,"55","9,303,318.1","2,776,561.2",,,,"195.6","468.9","197.7","469.7","1,449.2","23.5","41.868094","-87.666274","POINT (-87.666274 41.868094)","2023-172394"
"2023","251384","Cather -CPS","Not Covered 2024","2910 W Washington Blvd","60612",,"true","East Garfield Park","K-12 School",,,,,,,,,,,,,,,,,"41.928891","-87.663592","POINT (-87.663592 41.928891)","2023-251384"
"2023","256529","Sophy Hotel","Submitted","1411 E 53rd Street","60615","3.0",,"Hyde Park","Hotel","74,005","2018","1",,"66","3,588,377.5","3,949,082.7",,,,"101.9","191.8","103.3","195.8","711.8","9.6","41.78499","-87.601315","POINT (-87.601315 41.78499)","2023-256529"
"2023","175059","436-446 W. Diversey Pkwy.","Submitted","430 W. Diversey","60642","2.0",,"Lake View","Multifamily Housing","68,271","1908","1",,"44","1,671,855.5","2,936,207",,,,"67.5","113.7","72.5","119.6","389.9","5.7","41.895716","-87.633212","POINT (-87.633212 41.895716)","2023-175059"
"2023","250092","Judge Harry M. Fisher Apartments","Submitted","5821 N. Broadway Street","60660","3.5",,"Edgewater","Multifamily Housing","173,733","1964","1",,"73","3,475,248.3","7,993,399.8",,,,"66","104.3","73.8","113.5","910.8","5.2","41.757956","-87.579646","POINT (-87.579646 41.757956)","2023-250092"
"2023","251416","Von Linne","Submitted","3221 N Sacramento Ave","60618","2.0",,"Avondale","K-12 School","105,920","1895","3",,"45","2,767,916.8","4,084,439.8",,,,"64.7","113.7","75.1","124.6","604.2","5.7","41.873894","-87.754974","POINT (-87.754974 41.873894)","2023-251416"
"2023","243745","K SOuare Apartments (ks073)","Submitted","1749 N Wells St","60614","2.5",,"Lincoln Park","Multifamily Housing","326,596","1972","1","10,486","57","6,599,792.7","16,338,299.7",,,,"70.2","109.1","70.2","109.1","1,791.2","5.5","41.991086","-87.655563","POINT (-87.655563 41.991086)","2023-243745"
"2023","251315","0202AS - Chicago, IL","Submitted","2550 N Clybourn Ave","60614","4.0",,"Lincoln Park","Supermarket/Grocery Store","85,209","2013","1","2,060","64","9,787,297.6","7,080,800.6",,,,"198","408.9","209.1","419.7","1,745.5","20.5","41.763375","-87.63762","POINT (-87.63762 41.763375)","2023-251315"
"2023","244747","Lancaster Condo Association","Submitted","201 N. Westshore Drive","60601","2.0",,"Loop","Multifamily Housing","323,000","2004","1",,"43","8,698,734.4","17,474,831.8",,,,"81","132.2","87.6","139.9","2,145.3","6.6","41.771854","-87.698158","POINT (-87.698158 41.771854)","2023-244747"
"2023","255504","601 West Polk","Submitted","601 W Polk St","60607","4.0",,"Near West Side","Data Center","104,000","1918","1","57","88","52,447,370",,,,,"504.3","1,412","504.3","1,412","7,338.4","70.6","41.882457","-87.6277","POINT (-87.6277 41.882457)","2023-255504"
