community_area,reporting_year,median_site_eui,median_ghg_emissions,mean_energy_star_score,median_water_use,num_buildings
HEGEWISCH,2020,200.6,,31.0,,4
HEGEWISCH,2021,88.45,489.35,34.333333333333336,,4
HEGEWISCH,2022,105.9,620.5,30.0,,4
HEGEWISCH,2023,111.8,517.8,29.0,,4
HERMOSA,2019,90.69999999999999,747.2,35.4,1085.5,7
HERMOSA,2020,100.8,92.7,45.0,,8
HERMOSA,2021,82.3,646.8,53.166666666666664,,8
HERMOSA,2022,79.45,640.75,42.2,,8
HERMOSA,2023,77.95,685.55,45.25,,8
HUMBOLDT PARK,2019,76.1,723.0,50.388888888888886,1705.0,29
HUMBOLDT PARK,2020,65.15,775.8,58.714285714285715,3225.0,29
HUMBOLDT PARK,2021,75.7,708.2,54.25,,29
HUMBOLDT PARK,2022,76.94999999999999,702.65,51.1764705882353,,29
HUMBOLDT PARK,2023,82.3,671.7,44.3125,,29
HYDE PARK,2019,99.6,1133.6,58.03076923076923,2993.0,119
HYDE PARK,2020,97.6,1558.75,59.52542372881356,,117
HYDE PARK,2021,84.5,693.2,62.59016393442623,,99
HYDE PARK,2022,82.2,702.7,63.45762711864407,,99
HYDE PARK,2023,89.5,753.3,62.62264150943396,,99
Hegewisch,2024,97.4,441.0,37.333333333333336,3809.0,4
Hermosa,2019,83.4,1054.0,,1683.0,1
Hermosa,2020,85.6,,,,1
Hermosa,2021,64.0,807.5,,,1
Hermosa,2022,79.5,962.3,,,1
Hermosa,2023,82.3,968.2,,,1
Hermosa,2024,71.4,779.1,43.166666666666664,394.0,9
Humboldt Park,2019,95.35,1289.65,45.0,4583.0,2
Humboldt Park,2020,93.30000000000001,1267.2,43.0,3066.0,3
Humboldt Park,2021,102.6,1262.7,33.5,,3
Humboldt Park,2022,98.3,586.9,32.0,,3
Humboldt Park,2023,91.2,512.7,38.5,,3
Humboldt Park,2024,79.5,617.9,44.1,2488.5,32
Hyde Park,2019,106.5,2095.75,58.166666666666664,7771.0,8
Hyde Park,2020,84.5,1764.1,77.28571428571429,,10
Hyde Park,2021,74.5,1634.7,80.71428571428571,,10
Hyde Park,2022,78.6,1519.45,77.33333333333333,,10
Hyde Park,2023,86.6,1543.1,67.5,,10
Hyde Park,2024,85.4,745.4,62.04615384615385,1442.0,105
IRVING PARK,2019,76.5,654.8,64.28571428571429,1352.5,19
IRVING PARK,2020,83.85,1288.65,65.0,2038.0,19
IRVING PARK,2021,66.45,583.1,69.5,,19
IRVING PARK,2022,64.7,553.2,65.58333333333333,,19
IRVING PARK,2023,84.7,567.05,62.166666666666664,,19
Irving Park,2019,76.7,293.1,67.5,1953.0,3
Irving Park,2020,88.6,,53.0,,3
Irving Park,2021,74.5,279.9,66.5,,5
Irving Park,2022,77.85,278.85,61.0,,5
Irving Park,2023,77.55,272.35,64.5,,5
Irving Park,2024,67.9,387.7,61.5625,398.5,24
JEFFERSON PARK,2019,77.45,529.0,64.16666666666667,1758.0,8
JEFFERSON PARK,2020,87.4,946.7,68.75,1933.0,8
JEFFERSON PARK,2021,74.9,509.8,61.0,,8
JEFFERSON PARK,2022,74.19999999999999,491.35,60.333333333333336,,8
JEFFERSON PARK,2023,86.3,465.2,56.4,,8
Jefferson Park,2024,71.6,488.2,58.0,3665.0,7
KENWOOD,2019,96.1,609.4,57.875,2911.5,49
KENWOOD,2020,93.3,466.7,54.0,5786.5,49
KENWOOD,2021,86.75,569.1,56.3235294117647,,49
KENWOOD,2022,85.7,590.2,53.86666666666667,,49
KENWOOD,2023,89.9,581.6,54.12903225806452,,49
Kenwood,2019,92.4,411.25,62.25,3120.0,5
Kenwood,2020,98.25,,61.0,,5
Kenwood,2021,81.15,324.0,73.25,,5
Kenwood,2022,75.45,338.8,71.25,,5
Kenwood,2023,107.5,400.8,51.666666666666664,,5
Kenwood,2024,87.85,605.5,47.833333333333336,4251.0,53
LAKE VIEW,2019,86.4,742.95,61.24324324324324,3037.0,183
LAKE VIEW,2020,83.7,581.5999999999999,63.48529411764706,2860.0,179
LAKE VIEW,2021,76.55,632.9000000000001,66.27272727272727,,182
LAKE VIEW,2022,73.3,597.5,69.00675675675676,,182
LAKE VIEW,2023,80.4,614.0,67.52054794520548,,182
LINCOLN PARK,2019,84.85,859.25,58.917647058823526,2974.5,138
LINCOLN PARK,2020,85.55,973.0999999999999,58.68115942028985,9426.0,132
LINCOLN PARK,2021,74.95,695.05,64.12941176470588,,139
LINCOLN PARK,2022,72.5,713.5,68.46913580246914,,139
LINCOLN PARK,2023,83.0,755.4,65.16470588235295,,139
LINCOLN SQUARE,2019,95.8,659.45,45.2,2054.0,25
LINCOLN SQUARE,2020,82.3,431.0,51.55555555555556,96.0,23
LINCOLN SQUARE,2021,86.0,569.3,50.92857142857143,,24
LINCOLN SQUARE,2022,81.5,584.55,47.857142857142854,,23
LINCOLN SQUARE,2023,87.9,565.6500000000001,44.857142857142854,,23
LOGAN SQUARE,2019,78.55000000000001,674.2,62.142857142857146,1197.0,44
LOGAN SQUARE,2020,74.9,678.9000000000001,70.15789473684211,6493.5,42
LOGAN SQUARE,2021,66.69999999999999,506.6,67.90322580645162,,44
LOGAN SQUARE,2022,66.69999999999999,485.3,64.6,,43
LOGAN SQUARE,2023,74.6,554.0,60.57692307692308,,43
LOOP,2019,82.3,3487.0,52.68217054263566,6207.5,338
LOOP,2020,80.95,2977.5,57.14344262295082,7804.0,338
LOOP,2021,66.94999999999999,2627.5,63.22779922779923,,339
LOOP,2022,68.9,2579.3,61.93562231759657,,338
LOOP,2023,73.15,2707.3,61.13852813852814,,339
LOWER WEST SIDE,2019,78.4,771.55,57.84615384615385,961.0,18
LOWER WEST SIDE,2020,58.349999999999994,575.6,76.25,,18
LOWER WEST SIDE,2021,71.05000000000001,565.2,61.4,,19
LOWER WEST SIDE,2022,68.1,826.5,64.0,,18
